date;state;energy_source;generation_mwh;type_of_producer_Combined Heat and Power, Commercial Power;type_of_producer_Combined Heat and Power, Electric Power;type_of_producer_Electric Generators, Electric Utilities;type_of_producer_Electric Generators, Independent Power Producers;type_of_producer_Total Electric Power Industry;energy_source_Natural Gas;energy_source_Other Biomass;energy_source_Petroleum;energy_source_Solar Thermal and Photovoltaic;energy_source_Total
2015-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26593.0;3;3;0;0;4;3;2;2;0;3
2015-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24275.0;3;3;0;0;4;3;2;2;0;3
2015-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25704.0;3;3;0;0;4;3;2;2;0;3
2015-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25634.0;3;3;0;0;4;3;2;2;0;3
2015-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26740.0;3;3;0;0;4;3;2;2;0;3
2016-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25674.0;3;3;0;0;4;3;2;2;0;3
2016-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;23740.0;3;3;0;0;4;3;2;2;0;3
2016-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24748.0;3;3;0;0;4;3;2;2;0;3
2016-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;25662.0;3;3;0;0;4;3;2;2;0;3
2016-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26435.0;3;3;0;0;4;3;2;2;0;3
2016-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26465.0;3;3;0;0;4;3;2;2;0;3
2016-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;28135.0;3;3;0;0;4;3;2;2;0;3
2016-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;27902.0;3;3;0;0;4;3;2;2;0;3
2016-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24402.0;3;3;0;0;4;3;2;2;0;3
2016-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;22662.0;3;3;0;0;4;3;2;2;0;3
2016-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;24000.0;3;3;0;0;4;3;2;2;0;3
2016-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumTotalNatural GasOther Biomass;26065.0;3;3;0;0;4;3;2;2;0;3
2017-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;38868.0;4;0;0;0;4;2;2;2;0;2
2017-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;21988.0;4;0;0;0;4;2;2;2;0;2
2017-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;35576.0;4;0;0;0;4;2;2;2;0;2
2017-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15460.0;4;0;0;0;4;2;2;2;0;2
2017-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18456.0;4;0;0;0;4;2;2;2;0;2
2017-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;23708.0;4;0;0;0;4;2;2;2;0;2
2017-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;22664.0;4;0;0;0;4;2;2;2;0;2
2017-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;10460.0;4;0;0;0;4;2;2;2;0;2
2017-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;20788.0;4;0;0;0;4;2;2;2;0;2
2017-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18768.0;4;0;0;0;4;2;2;2;0;2
2017-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;17140.0;4;0;0;0;4;2;2;2;0;2
2017-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;23608.0;4;0;0;0;4;2;2;2;0;2
2018-01-01;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;27748.0;4;0;0;0;4;2;2;2;0;2
2018-01-02;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;30372.0;4;0;0;0;4;2;2;2;0;2
2018-01-03;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;35376.0;4;0;0;0;4;2;2;2;0;2
2018-01-04;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;38196.0;4;0;0;0;4;2;2;2;0;2
2018-01-05;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15256.0;4;0;0;0;4;2;2;2;0;2
2018-01-06;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;26208.0;4;0;0;0;4;2;2;2;0;2
2018-01-07;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;36416.0;4;0;0;0;4;2;2;2;0;2
2018-01-08;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;18792.0;4;0;0;0;4;2;2;2;0;2
2018-01-09;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;24028.0;4;0;0;0;4;2;2;2;0;2
2018-01-10;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;15184.0;4;0;0;0;4;2;2;2;0;2
2018-01-11;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;16820.0;4;0;0;0;4;2;2;2;0;2
2018-01-12;DC;TotalNatural GasPetroleumOther BiomassTotalNatural GasPetroleumOther Biomass;32928.0;4;0;0;0;4;2;2;2;0;2
2019-01-01;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;60535.0;4;0;0;2;5;2;2;2;2;3
2019-01-02;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;50232.0;4;0;0;2;5;2;2;2;2;3
2019-01-03;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;60080.0;4;0;0;2;5;2;2;2;2;3
2019-01-04;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;55684.0;4;0;0;2;5;2;2;2;2;3
2019-01-05;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;50688.0;4;0;0;2;5;2;2;2;2;3
2019-01-06;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;62048.0;4;0;0;2;5;2;2;2;2;3
2019-01-07;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;57236.0;4;0;0;2;5;2;2;2;2;3
2019-01-08;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;59315.0;4;0;0;2;5;2;2;2;2;3
2019-01-09;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;58432.0;4;0;0;2;5;2;2;2;2;3
2019-01-10;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;55100.0;4;0;0;2;5;2;2;2;2;3
2019-01-11;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;55284.0;4;0;0;2;5;2;2;2;2;3
2019-01-12;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;71684.0;4;0;0;2;5;2;2;2;2;3
2020-01-01;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;71328.0;4;0;0;2;5;2;2;2;2;3
2020-01-02;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;73176.0;4;0;0;2;5;2;2;2;2;3
2020-01-03;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;61960.0;4;0;0;2;5;2;2;2;2;3
2020-01-04;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;48120.0;4;0;0;2;5;2;2;2;2;3
2020-01-05;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;50097.0;4;0;0;2;5;2;2;2;2;3
2020-01-06;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;64648.0;4;0;0;2;5;2;2;2;2;3
2020-01-07;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;75630.0;4;0;0;2;5;2;2;2;2;3
2020-01-08;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;78856.0;4;0;0;2;5;2;2;2;2;3
2020-01-09;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;73994.0;4;0;0;2;5;2;2;2;2;3
2020-01-10;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;73872.0;4;0;0;2;5;2;2;2;2;3
2020-01-11;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;60848.0;4;0;0;2;5;2;2;2;2;3
2020-01-12;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;71892.0;4;0;0;2;5;2;2;2;2;3
2021-01-01;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;70176.0;4;0;0;2;5;2;2;2;2;3
2021-01-02;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;62685.0;4;0;0;2;5;2;2;2;2;3
2021-01-03;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;70288.0;4;0;0;2;5;2;2;2;2;3
2021-01-04;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;51944.0;4;0;0;2;5;2;2;2;2;3
2021-01-05;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;72440.0;4;0;0;2;5;2;2;2;2;3
2021-01-06;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;80120.0;4;0;0;2;5;2;2;2;2;3
2021-01-07;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;84712.0;4;0;0;2;5;2;2;2;2;3
2021-01-08;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;78376.0;4;0;0;2;5;2;2;2;2;3
2021-01-09;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;76488.0;4;0;0;2;5;2;2;2;2;3
2021-01-10;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;63456.0;4;0;0;2;5;2;2;2;2;3
2021-01-11;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;68450.0;4;0;0;2;5;2;2;2;2;3
2021-01-12;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and Photovoltaic;65128.0;4;0;0;2;5;2;2;2;2;3
2022-01-01;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;47839.0;4;0;2;2;5;2;2;2;3;4
2022-01-02;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;42347.0;4;0;2;2;5;2;2;2;3;4
2022-01-03;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;64436.0;4;0;2;2;5;2;2;2;3;4
2022-01-04;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;60711.0;4;0;2;2;5;2;2;2;3;4
2022-01-05;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;68744.0;4;0;2;2;5;2;2;2;3;4
2022-01-06;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;55592.0;4;0;2;2;5;2;2;2;3;4
2022-01-07;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;56437.0;4;0;2;2;5;2;2;2;3;4
2022-01-08;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;55404.0;4;0;2;2;5;2;2;2;3;4
2022-01-09;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;50000.0;4;0;2;2;5;2;2;2;3;4
2022-01-10;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;48633.0;4;0;2;2;5;2;2;2;3;4
2022-01-11;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;45178.0;4;0;2;2;5;2;2;2;3;4
2022-01-12;DC;TotalNatural GasPetroleumSolar Thermal and PhotovoltaicOther BiomassTotalNatural GasPetroleumOther BiomassTotalSolar Thermal and PhotovoltaicTotalSolar Thermal and Photovoltaic;45630.0;4;0;2;2;5;2;2;2;3;4
